annee;sex;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104; 105 ou +
1901;M;367744;341018;332981;337366;341176;318757;327960;329732;314436;323771;308974;328659;324004;327839;327863;331953;331865;329422;323847;320146;306569;314698;311340;313648;322020;313691;316235;304863;314710;248679;281038;279336;268387;276196;279617;272672;271362;269749;265806;266997;257225;260724;239558;230230;235936;220641;220485;222562;225855;224759;217397;216218;197049;184211;191992;195896;187263;185302;181227;181625;171593;165060;154563;145257;147477;142301;129206;120773;110415;114670;106426;99457;89423;81699;75421;66290;60123;51762;45526;40220;34846;28563;22253;17807;14725;11297;8620;6157;4147;2956;2138;1454;935;578;362;216;125;70;38;23;21;0;0;0;0;0
1902;M;386291;344942;333447;328855;334496;339484;317568;327196;329186;314066;323269;308317;327507;322989;326776;326671;330237;329485;326766;321063;317398;304313;312643;309329;311606;319845;311826;314300;303014;312331;246622;278774;277572;266576;274049;277237;270158;268638;267063;262918;263993;254275;257508;236781;227148;232871;217490;216995;219039;222153;220756;213433;212150;193137;179939;187610;191292;182294;180259;176382;176303;166323;159253;148894;139341;141078;135823;122538;114182;104048;107206;99421;91382;82070;73986;67792;59160;53095;45196;39052;33834;28925;23355;17700;13930;11341;8563;6367;4415;2908;2024;1443;973;606;359;226;140;78;41;22;24;0;0;0;0;0
1903;M;384638;363091;335579;331807;326099;333097;338469;316814;326604;329048;314000;322570;307027;326533;322257;325714;324777;327998;327066;323771;318085;315157;302600;310961;307230;309418;317983;310084;312478;300591;309848;244485;277274;275801;264491;271700;274765;267705;266140;264299;260029;261021;251166;254459;233685;224257;229619;214053;213695;215524;218387;216973;209648;208037;188839;176051;183274;186315;177487;175635;171269;170934;160628;153550;143035;133407;134731;129145;115971;107727;97413;100274;91495;83971;74517;66697;60599;52463;46318;39052;33095;28251;23785;18675;13899;10777;8653;6345;4650;3196;1997;1340;968;648;390;225;150;93;49;25;24;0;0;0;0;0
1904;M;375150;361415;354753;331336;329799;324762;332372;337834;316214;326403;329118;313641;321162;305846;325784;321467;323897;322371;325717;324309;320630;315680;313525;301180;309050;304871;307527;316247;308501;310195;298085;307280;243159;275840;273801;262273;269367;272359;265301;263454;261589;257242;257962;248400;251225;230837;221280;226225;210911;210460;211970;214770;213304;205844;203597;185018;172249;178538;181604;173170;170803;166240;165178;155015;147555;137016;127502;128184;122361;109279;100871;91140;92294;84155;76194;67213;59774;53673;45918;39906;33139;27575;23185;19062;14611;10569;8103;6428;4589;3254;2184;1380;885;627;393;225;130;92;55;26;29;0;0;0;0;0
1905;M;368923;351279;352120;350983;328765;328897;324075;332020;337345;315931;326308;328849;312582;319882;304889;324958;319906;321484;319844;323109;321376;318100;313940;312173;299508;306845;302774;305706;314653;306440;307817;295521;305573;241828;274073;271569;259897;266962;269944;262720;260704;258794;254290;255132;245331;248181;227825;218005;222888;207630;206979;208430;211192;209385;201375;199337;181064;167932;173858;177077;168374;165724;160587;159386;149004;141343;130992;121257;121411;115415;102042;94259;83733;84774;76415;68502;60026;52656;46724;39491;33741;27799;22700;18556;14974;11143;7881;5952;4600;3209;2240;1469;926;554;392;248;143;81;58;31;35;0;0;0;0;0
1906;M;367241;341658;343084;347910;348442;328623;327893;323618;331700;337131;315776;325883;327847;311612;318802;303835;323348;317778;319052;317048;320342;319089;316180;312396;310584;297585;304913;300745;303937;312409;304110;305249;293642;303697;240036;271966;269166;257439;264417;267094;259876;257722;255635;251298;251759;242155;244591;224201;214594;219234;203876;203182;204469;207039;204713;196917;194634;176207;163238;169065;171876;163069;159763;154590;152816;142454;134774;124283;114506;114217;107754;94958;86437;76776;76383;69275;60646;53004;45979;40050;33359;28079;22913;18142;14434;11316;8211;5712;4249;3190;2108;1473;949;560;318;225;132;84;45;30;36;0;0;0;0;0
1907;M;364405;338445;330777;336200;348856;346612;326270;327624;322651;333058;337283;315971;326204;328133;311896;318715;303203;321992;316324;317425;315291;318076;316111;313130;309534;307978;295809;303625;299474;302516;310590;302511;303510;291877;301471;238050;269808;267454;255655;262171;264573;257337;255043;252877;248339;248680;239007;241131;221110;211183;215848;200408;199403;200512;202851;200325;192492;189996;171738;158410;163863;166231;157030;153693;148697;146248;135986;127927;117561;107437;106590;100320;87530;79027;69833;68859;62040;53379;46206;39489;33782;27674;22899;18189;14142;10932;8393;5933;3984;2936;2147;1345;952;581;329;173;128;69;46;21;43;0;0;0;0;0
1908;M;354832;340739;332685;326694;337921;346299;344480;325158;327525;324074;333038;337614;316287;326441;328572;312081;318047;301673;320521;314974;315639;312826;314780;313375;310103;306651;306205;294811;302516;297764;300513;308910;300823;301778;289353;298847;235967;267929;265503;253264;259306;261841;254495;252175;249591;244872;245153;235485;237490;217484;207591;211933;196506;195410;195991;197957;195400;187900;184799;166412;153004;158314;159643;150559;147397;141904;139135;128725;120605;110056;99636;98688;91833;79707;71544;62154;60997;54632;45984;39324;32857;27868;22254;18084;14042;10619;8198;6062;4171;2754;1998;1411;849;595;350;205;101;78;36;24;33;0;0;0;0;0
1909;M;363814;332710;334948;327645;330797;336096;343312;343540;324211;329879;324168;333265;338045;316432;326710;328994;311730;316440;300062;319114;313578;313289;309485;312200;310701;307117;304791;305238;293967;301088;295665;298922;307280;299358;299500;286781;296166;234638;266327;263379;250819;256908;259132;251925;249201;246396;241778;241730;232130;233713;214066;204227;207831;192888;191380;191564;193348;190778;183068;179275;161104;148360;152468;153609;144852;141263;135461;131962;121801;113546;102595;92894;90780;84250;72591;64536;55940;54035;47868;39724;33345;27731;22832;18069;14277;10876;8062;6094;4407;2963;1939;1353;915;543;363;224;121;59;45;16;28;0;0;0;0;0
1910;M;356949;342437;327006;329196;330517;331080;333786;341542;342705;325645;330784;324458;333507;338315;316672;326934;328782;310484;314737;298609;317727;311463;310162;306828;309748;308020;305131;303575;304482;292843;299160;294000;297258;305805;297211;296985;284242;294210;233281;264315;260651;248482;254151;256543;249089;245970;243139;238359;238397;228390;229837;210403;200257;203694;188887;186936;187097;188616;185833;177527;173422;155926;142924;146476;147339;138390;134696;128221;124422;114169;105518;95263;85240;82703;76193;64944;57784;48608;46801;41300;33295;27698;22432;18302;14140;10861;8092;5908;4345;3066;1970;1313;872;564;324;210;130;60;34;27;21;0;0;0;0;0
