year,pp_evo,unemp
1975,3.8,0.033
1976,2.1,0.036
1977,2.4,0.041
1978,6.1,0.043
1979,-0.1,0.048
1980,-0.5,0.051
1981,1.6,0.06
1982,2.6,0.066
1983,-1,0.069
1984,-2.3,0.081
1985,0.1,0.085
1986,2.9,0.086
1987,1,0.087
1988,3.8,0.084
1989,3.9,0.079
1990,4.3,0.076
1991,0.5,0.078
1992,2.6,0.087
1993,-0.3,0.097
1994,0.1,0.103
1995,1.8,0.097
1996,0.4,0.101
1997,1.8,0.103
1998,3.4,0.099
1999,3.1,0.096
2000,3.5,0.082
2001,3.2,0.074
2002,3,0.075
2003,0.3,0.081
2004,2.3,0.085
2005,1.2,0.085
2006,3.4,0.085
2007,4,0.077
2008,-0.1,0.071
2009,2,0.087
2010,1.5,0.089
2011,0,0.088
2012,-1.5,0.094
2013,-2.5,0.099
2014,2,0.099
2015,1,0.101
2016,2.1,0.098
2017,1.7,0.091
