year,pp_evo,unemp
1976,2.1,9.090909091
1977,2.4,13.88888889
1978,6.1,4.87804878
1979,-0.1,11.62790698
1980,-0.5,6.25
1981,1.6,17.64705882
1982,2.6,10
1983,-1,4.545454545
1984,-2.3,17.39130435
1985,0.1,4.938271605
1986,2.9,1.176470588
1987,1,1.162790698
1988,3.8,-3.448275862
1989,3.9,-5.952380952
1990,4.3,-3.797468354
1991,0.5,2.631578947
1992,2.6,11.53846154
1993,-0.3,11.49425287
1994,0.1,6.18556701
1995,1.8,-5.825242718
1996,0.4,4.12371134
1997,1.8,1.98019802
1998,3.4,-3.883495146
1999,3.1,-3.03030303
2000,3.5,-14.58333333
2001,3.2,-9.756097561
2002,3,1.351351351
2003,0.3,8
2004,2.3,4.938271605
2005,1.2,0
2006,3.4,0
2007,4,-9.411764706
2008,-0.1,-7.792207792
2009,2,22.53521127
2010,1.5,2.298850575
2011,0,-1.123595506
2012,-1.5,6.818181818
2013,-2.5,5.319148936
2014,2,0
2015,1,2.02020202
2016,2.1,-2.97029703
2017,1.7,-7.142857143
